Labels,Conductivity (μS/cm),TDS (mg/L),Cl{−}  (mg/L),SO4{2-}  (mg/L),NO3{-} (mg/L),HCO3{-} (mg/L),Ca{2+} (mg/L),Mg{2+} (mg/L),Na{+} (mg/L),K{+} (mg/L),pH,Si (mg/L),Mean liking
LM·min1,30,25,3,3,3,6.3,1.7,0.5,3.1,0.4,6,6.9,5
LM·min2,38,26,0.67,1.26,3.5,18,5,1,1.3,0.3,6.7,8.9,5.5
NaHCO3·min1,278,193,17,11.6,0.36,145.42,12.4,0.8,51.5,1.5,7.3,16,5.9
NaHCO3·min2,539.2,347,27.4,21.3,0.7,285.1,22.8,1.6,87.7,4,7.9,32.2,5.4
Ca(HCO3)2·min1,201.4,121,4.2,12.2,0.85,124.2,21.3,12.6,2.7,0.5,8.1,5,6.2
Ca(HCO3)2·min2,294,213,16.2,16.4,3.1,149,38.5,9.7,13.2,1.1,7.8,4.2,6.6
Ca(HCO3)2·min3,375,262,7.8,21.9,1.9,285,56.9,25.5,5.3,1.1,8,7.5,5.7
Ca(HCO3)2·min4,446,278,2.8,20.1,2.9,307,75.6,19.4,1.6,0.4,7.6,0.7,6.5
Ca(HCO3)2·min5,602,355,4.14,12.7,1.9,415,77.7,40.3,1.6,0.4,7.5,3.2,4.9
Ca(HCO3)2/CaSO4·min1,220,205,2.96,57.9,0.46,74,36.3,7.8,0.6,0.4,7.5,1.7,6.6
Ca(HCO3)2/CaSO4·min2,388.4,287,5.5,109,1.1,115.9,70.4,16.1,1.1,0.8,7.9,4.8,6.5
Ca(HCO3)2/CaSO4·min3,993,844,7.9,328.9,4.3,399,203.8,43.1,5,1.9,7.5,9.67,5.7
CaSO4·min1,220,189,2.7,86.8,0.16,32.5,35.1,6,0.5,0.3,7.6,0.53,6.5
CaSO4·min2,395.5,314,2.9,166.7,0.32,63.98,68.9,11.9,1.1,0.6,7.8,1.8,6.8
CaSO4·min3,786,662,3.7,385.8,1.1,122.9,162.9,27.6,2.3,1.1,7.3,3,6.3
CaSO4·min4,1157,1083,5.7,596,1.5,188,241.6,41,3.8,1.5,7.61,5.2,5.4
NaCl·min1,274,165,74.3,1.2,3.5,25.9,6.3,1,121.6,0.4,6.9,10.9,4.9
NaCl·min2,635.3,389,193.86,1.45,3.94,20.84,6.2,0.9,31.3,0.4,7.01,9.6,4.3
NaCl/NaHCO3·min1,289,195,49.6,6.49,1.8,85.6,9.6,1,52.8,0.9,7.2,13,5.6
NaCl/NaHCO3·min2,591,373,112.2,12.1,2.49,164.4,12.2,1.3,116,1.7,7.2,20.8,4.6
